,normalized,meaning
0,а,"а\n1. а́ II. межд.а, уара уакIвма ауи!а, это ты!\n2. а́ III. частица вопр.ачIвыйа уара йухIваз, а?что ты сказал, а?\n3. ауа́сасара ауи йпны сцан, ауаса даъамкIва саквшватIя к нему ходил, но дома не застал"
2,ива,"ива\n1. псахъва́ива\n1. а-агш (абх.)Salix caprea L.[ива козья]\n2. а-агш (абх.) Уапшы псахъвакIахвхваSalix albana L.[ива белая]\n3. бнапсахъваSalix viminalis L.[ива прутевидная]\n4. джьмапсахъваSalix caprea L.[ива бредина]\n5. мартанпсахъваSalix viminalis L.[ива корзиночная]\n6. псахъваSalix L.\n7. псахъвадагв Уапшы псахъватIатIаSalix fragilis L.[ива ломкая]\n8. псахъвакъадаба Уапшы псахъвашкIвокIваSalix albana L.[ива белая, серебристая]\n9. псахъвакъапщыSalix phlomoides Bieb.[ива железняковидная]\n10. псахъвакъапщыSalix purpuria L.[ива пурпурная]\n11. псахъвакIахвхваSalix alba var. pendula hort.[ива белая]\n12. псахъватIатIаSalix fragilis L.[ива ломкая]\n13. псахъвахъвачваSalix cinerea L.[ива серая]\n14. псахъвачвышSalix pantosericea Goerz.[ива шелковистая]\n15. псахъвашкIвокIваSalix alba L.[ива серебристая]\n16. а-пслыш (абх.)Salix L.\n17. пслыш (шкар.) Уапшы псахъваSalix L."
4,ясень,"ясень\n1. жачIвы́ясень\n1. а-ажа (абх.) Уапшы жачIвыFraxinus L.\n2. жачIвыFraxinus L.\n3. жачIвыхIагIаFraxinus excelsior L.[ясень высокий]\n4. жачIвыцIла Уапшы жачIвыFraxinus L.\n5. жачIвшкIвокIваFraxinus ornus L.[ясень цветочный, белый]\n6. жашIхIагIа Уапшы жачIвыхIагIаFraxinus excelsior L.[ясень высокий]\n7. жашIшкIвокIва Уапшы жачIвшкIвокIваFraxinus ornus L.[ясень цветочный, белый]\n8. жашIы Уапшы жачIвыFraxinus L.\n9. а-чамха (абх.)Fraxinus excelsior L.[ясень обыкновенный]"
5,ежевика,ежевика\n1. мгърайква́ [ежевика  (ягоды и кустарник)]\n2. мыгъры́йква [ежевика  (кустарник и ягоды)]мыгърыйква тыгвракуст ежевикиежевика\n1. а-ажс (абх.) Уапшы жвумпаларчIваRubus caesius L.[ежевика сизая]\n2. а-жц (абх.) Уапшы а-маахыр (абх.)Rubus L.\n3. жвумпаларчIваRubus caesius L.[ежевика сизая]\n4. а-жсмыг (абх.) Уапшы жвумпаларчIваRubus caesius L.[ежевика сизая]\n5. а-маахырRubus anatolicus (Focke) Focke.\n6. мыгърайква Уапшы мыгърыйкваRubus caesius L.[ежевика сизая]\n7. мыгърийRubus L.\n8. мыгърийRubus idaeus L.\n9. мыгърихъвыш Уапшы жвумпаларчIваRubus caesius L.[ежевика сизая]\n10. мыгърый Уапшы мыгърыйкваRubus caesius L.[ежевика сизая]\n11. мыгърыйкваRubus caesius L.[ежевика сизая (плод ежевики сизой)]\n12. мыгърыйкваRubus caesius L.[ежевика сизая]\n13. а-чархан (абх.)Rubus buschii Grossh L.\n14. щхъамыгърийRubus caucasicus Focke.[ежевика кавказская]
6,виноград,виноград\n1. виногра́д *(заимствовано из русского)\n2. джьузы́мвиноград\n1. а-ажь (абх.)Vitis vinifera L.[виноград культурный]\n2. а-ажьапшь (абх.)Vitis vinifera L.[виноград культурный (сорт винограда культурного)]\n3. а-бажвш (абх.)Vitis vinifera L.[виноград белый (сорт белого винограда)]\n4. бнаджьузымVitis silvestris J. F. Gmel.[виноград лесной]\n5. виноград *(заимствовано из русского) Уапшы джьузымVitis vinifera L.[виноград культурный]\n6. виноград *(заимствовано из русского) Уапшы джьузымVitis vinifera L.[виноград культурный (плод винограда культурного)]\n7. джьузымVitis vinifera L.[виноград культурный (плод винограда культурного)]\n8. джьузымVitis vinifera L.[виноград культурный]\n9. джьузымшкIвокIва Уапшы джьузымVitis vinifera L.[виноград культурный (один из сортов винограда культурного)]\n10. джьузымкъапщы Уапшы джьузымVitis vinifera L.[виноград культурный (один из сортов винограда культурного)]\n11. жузым Уапшы джьузымVitris vinifera L.[виноград культурный (плод винограда культурного)]\n12. жузым Уапшы джьузымVitris vinifera L.[виноград культурный]\n13. жузымкъапщыVitris vinifera L.[виноград культурный (один из сортов винограда культурного)]\n14. жузымшкIвокIваVitris vinifera L.[виноград культурный (один из сортов винограда культурного)]\n15. а-жьгара (абх.)Vitis vinifera L.[виноград культурный (сорт винограда культурного)]
8,ломонос,ломонос\n1. а-алымшьдзахуа (абх.)Clematis vitalba L.[ломонос винограднолистный]\n2. щхарпсыгаClematis vitalba L.[ломонос виноградолистный]
9,шелковица,шелковица\n1. а-амжа (абх.)Morus L.\n2. а-амтва (абх.) Уапшы жвумпшкIвокIваMorus alba L.[шелковица белая]\n3. жвумпквайчIваMorus nigra L.[шелковица черная]\n4. жвумпцIла Уапшы жвумпшкIвокIваMorus L.\n5. жвумпцIлаквайчIва Уапшы цIлачыльаMorus nigra L.[шелковица черная]\n6. жвумпцIлашкIвокIва Уапшы цIлачыльаMorus alba L.[шелковица белая]\n7. жвумпшкIвокIваMorus alba L.[шелковица белая]\n8. маракIва Уапшы жвумпцIлаMorus L.\n9. маракIваквайчIва Уапшы жвумпцIлаквайчIваMorus nigra L.[шелковица черная]\n10. маракIвацIла Уапшы жвумпцIлаMorus L.\n11. маракIвашкIвокIва Уапшы жвумпцIлашкIвокIваMorus albana L.[шелковица белая]\n12. цIлажвумпMorus nigra L.[шелковица черная (плоды шелковицы черной)]\n13. цIлажвумпMorus alba L.[шелковица белая (плоды шелковицы белой)]\n14. цIлачыльа Уапшы жвумпцIлаквайчIваMorus nigra L.[шелковица черная]\n15. цIлачыльа Уапшы жвумпцIлашкIвокIваMorus alba L.[шелковица белая]
11,пихта,пихта\n1. а-апса (абх.)Abies nordmanniana (Stev.) Spach.[пихта кавказская]\n2. апсацIлаAbies caucasica Bieb.[пихта кавказская]
12,кукуруза,кукуруза\n1. нарты́хв\n2. нартыхвжвы́ [кукуруза  варёная]\n3. нартыхвры́дз [кукуруза  жареная]\n4. хIакъвы́т [кукуруза  жареная со сливками или простоквашей (национальное блюдо)]кукуруза\n1. а-апш (абх.) Уапшы нартыхвZea mays L.\n2. нартыхвZea mays L.\n3. нартыхвпIанкIьZea mays L.[кукуруза лопающаяся]\n4. нартыхвтшпыцZea mays L.[кукуруза зубовидная]\n5. нартыхвхъагIаZea mays L.[кукуруза сахарная]\n6. нартыхвшкIвокIваZea mays L.[кукуруза кремнистая]
13,каштан,"каштан\n1. кашта́н *(заимствовано из русского) [каштан  (плод и дерево)]каштан\n1. адгьылрасаCastanea sativa Mill.[каштан настоящий]\n2. адгьылрасаCastanea sativa Mill.[каштан настоящий (плод каштана настоящего)]\n3. а-ахьа (абх.) Уапшы адгьылрасаCastanea sativa Mill.[каштан посевной]\n4. а-ахьа (абх.) Уапшы адгьылрасаCastanea sativa Mill.[каштан культурный]\n5. а-ахьарпара (абх.)Castanea sativa Mill.[каштан посевной, культурный (плод каштана посевного, каштана культурного)]\n6. каштан *(заимствовано из русского) Уапшы адгьылрасаCastanea sativa Mill.[каштан посевной]\n7. каштан *(заимствовано из русского) Уапшы адгьылрасаCastanea sativa Mill.[каштан культурный]\n8. кIаштан *(заимствовано из русского) Уапшы адгьылрасаCastanea sativa Mill.[каштан настоящий]\n9. хьыцIлаAesculus hippocastanum L.[каштан конский, обыкновенный]\n10. шитанрасаTrapa natans L.[каштан водяной]"
