а	а \n1.   а́ \nII   межд. а, уара уакIвма ауи! а, это ты! \n2.   а́ \nIII   частица вопр. ачIвыйа уара йухIваз, а? что ты сказал, а? \n3.   ауа́са сара ауи йпны сцан, ауаса даъамкIва саквшватI я к нему ходил, но дома не застал   
ива	ива \n1.   псахъва́   ива \n1.   а-агш   (абх.) Salix caprea L. [ива  козья ] \n2.   а-агш   (абх.)   Уапшы   псахъвакIахвхва Salix albana L. [ива  белая ] \n3.   бнапсахъва Salix viminalis L. [ива  прутевидная ] \n4.   джьмапсахъва Salix caprea L. [ива  бредина ] \n5.   мартанпсахъва Salix viminalis L. [ива  корзиночная ] \n6.   псахъва Salix L. \n7.   псахъвадагв   Уапшы   псахъватIатIа Salix fragilis L. [ива  ломкая ] \n8.   псахъвакъадаба   Уапшы   псахъвашкIвокIва Salix albana L. [ива  белая, серебристая ] \n9.   псахъвакъапщы Salix phlomoides Bieb. [ива  железняковидная ] \n10.   псахъвакъапщы Salix purpuria L. [ива  пурпурная ] \n11.   псахъвакIахвхва Salix alba var. pendula hort. [ива  белая ] \n12.   псахъватIатIа Salix fragilis L. [ива  ломкая ] \n13.   псахъвахъвачва Salix cinerea L. [ива  серая ] \n14.   псахъвачвыш Salix pantosericea Goerz. [ива  шелковистая ] \n15.   псахъвашкIвокIва Salix alba L. [ива  серебристая ] \n16.   а-пслыш   (абх.) Salix L. \n17.   пслыш   (шкар.)   Уапшы   псахъва Salix L.   
ясень	ясень \n1.   жачIвы́   ясень \n1.   а-ажа   (абх.)   Уапшы   жачIвы Fraxinus L. \n2.   жачIвы Fraxinus L. \n3.   жачIвыхIагIа Fraxinus excelsior L. [ясень  высокий ] \n4.   жачIвыцIла   Уапшы   жачIвы Fraxinus L. \n5.   жачIвшкIвокIва Fraxinus ornus L. [ясень  цветочный, белый ] \n6.   жашIхIагIа   Уапшы   жачIвыхIагIа Fraxinus excelsior L. [ясень  высокий ] \n7.   жашIшкIвокIва   Уапшы   жачIвшкIвокIва Fraxinus ornus L. [ясень  цветочный, белый ] \n8.   жашIы   Уапшы   жачIвы Fraxinus L. \n9.   а-чамха   (абх.) Fraxinus excelsior L. [ясень  обыкновенный ]   
ежевика	ежевика \n1.   мгърайква́   [ежевика   (ягоды и кустарник) ] \n2.   мыгъры́йква   [ежевика   (кустарник и ягоды) ] мыгърыйква тыгвра куст ежевики   ежевика \n1.   а-ажс   (абх.)   Уапшы   жвумпаларчIва Rubus caesius L. [ежевика  сизая ] \n2.   а-жц   (абх.)   Уапшы   а-маахыр   (абх.) Rubus L. \n3.   жвумпаларчIва Rubus caesius L. [ежевика  сизая ] \n4.   а-жсмыг   (абх.)   Уапшы   жвумпаларчIва Rubus caesius L. [ежевика  сизая ] \n5.   а-маахыр Rubus anatolicus (Focke) Focke. \n6.   мыгърайква   Уапшы   мыгърыйква Rubus caesius L. [ежевика  сизая ] \n7.   мыгърий Rubus L. \n8.   мыгърий Rubus idaeus L. \n9.   мыгърихъвыш   Уапшы   жвумпаларчIва Rubus caesius L. [ежевика  сизая ] \n10.   мыгърый   Уапшы   мыгърыйква Rubus caesius L. [ежевика  сизая ] \n11.   мыгърыйква Rubus caesius L. [ежевика  сизая   (плод ежевики сизой) ] \n12.   мыгърыйква Rubus caesius L. [ежевика  сизая ] \n13.   а-чархан   (абх.) Rubus buschii Grossh L. \n14.   щхъамыгърий Rubus caucasicus Focke. [ежевика  кавказская ]   
виноград	виноград \n1.   виногра́д   * (заимствовано из русского) \n2.   джьузы́м   виноград \n1.   а-ажь   (абх.) Vitis vinifera L. [виноград  культурный ] \n2.   а-ажьапшь   (абх.) Vitis vinifera L. [виноград  культурный   (сорт винограда культурного) ] \n3.   а-бажвш   (абх.) Vitis vinifera L. [виноград  белый   (сорт белого винограда) ] \n4.   бнаджьузым Vitis silvestris J. F. Gmel. [виноград  лесной ] \n5.   виноград   * (заимствовано из русского)   Уапшы   джьузым Vitis vinifera L. [виноград  культурный ] \n6.   виноград   * (заимствовано из русского)   Уапшы   джьузым Vitis vinifera L. [виноград  культурный   (плод винограда культурного) ] \n7.   джьузым Vitis vinifera L. [виноград  культурный   (плод винограда культурного) ] \n8.   джьузым Vitis vinifera L. [виноград  культурный ] \n9.   джьузымшкIвокIва   Уапшы   джьузым Vitis vinifera L. [виноград  культурный   (один из сортов винограда культурного) ] \n10.   джьузымкъапщы   Уапшы   джьузым Vitis vinifera L. [виноград  культурный   (один из сортов винограда культурного) ] \n11.   жузым   Уапшы   джьузым Vitris vinifera L. [виноград  культурный   (плод винограда культурного) ] \n12.   жузым   Уапшы   джьузым Vitris vinifera L. [виноград  культурный ] \n13.   жузымкъапщы Vitris vinifera L. [виноград  культурный   (один из сортов винограда культурного) ] \n14.   жузымшкIвокIва Vitris vinifera L. [виноград  культурный   (один из сортов винограда культурного) ] \n15.   а-жьгара   (абх.) Vitis vinifera L. [виноград  культурный   (сорт винограда культурного) ]   
ломонос	ломонос \n1.   а-алымшьдзахуа   (абх.) Clematis vitalba L. [ломонос  винограднолистный ] \n2.   щхарпсыга Clematis vitalba L. [ломонос  виноградолистный ]   
шелковица	шелковица \n1.   а-амжа   (абх.) Morus L. \n2.   а-амтва   (абх.)   Уапшы   жвумпшкIвокIва Morus alba L. [шелковица  белая ] \n3.   жвумпквайчIва Morus nigra L. [шелковица  черная ] \n4.   жвумпцIла   Уапшы   жвумпшкIвокIва Morus L. \n5.   жвумпцIлаквайчIва   Уапшы   цIлачыльа Morus nigra L. [шелковица  черная ] \n6.   жвумпцIлашкIвокIва   Уапшы   цIлачыльа Morus alba L. [шелковица  белая ] \n7.   жвумпшкIвокIва Morus alba L. [шелковица  белая ] \n8.   маракIва   Уапшы   жвумпцIла Morus L. \n9.   маракIваквайчIва   Уапшы   жвумпцIлаквайчIва Morus nigra L. [шелковица  черная ] \n10.   маракIвацIла   Уапшы   жвумпцIла Morus L. \n11.   маракIвашкIвокIва   Уапшы   жвумпцIлашкIвокIва Morus albana L. [шелковица  белая ] \n12.   цIлажвумп Morus nigra L. [шелковица  черная   (плоды шелковицы черной) ] \n13.   цIлажвумп Morus alba L. [шелковица  белая   (плоды шелковицы белой) ] \n14.   цIлачыльа   Уапшы   жвумпцIлаквайчIва Morus nigra L. [шелковица  черная ] \n15.   цIлачыльа   Уапшы   жвумпцIлашкIвокIва Morus alba L. [шелковица  белая ]   
пихта	пихта \n1.   а-апса   (абх.) Abies nordmanniana (Stev.) Spach. [пихта  кавказская ] \n2.   апсацIла Abies caucasica Bieb. [пихта  кавказская ]   
кукуруза	кукуруза \n1.   нарты́хв \n2.   нартыхвжвы́   [кукуруза   варёная ] \n3.   нартыхвры́дз   [кукуруза   жареная ] \n4.   хIакъвы́т   [кукуруза   жареная со сливками или простоквашей   (национальное блюдо) ]   кукуруза \n1.   а-апш   (абх.)   Уапшы   нартыхв Zea mays L. \n2.   нартыхв Zea mays L. \n3.   нартыхвпIанкIь Zea mays L. [кукуруза  лопающаяся ] \n4.   нартыхвтшпыц Zea mays L. [кукуруза  зубовидная ] \n5.   нартыхвхъагIа Zea mays L. [кукуруза  сахарная ] \n6.   нартыхвшкIвокIва Zea mays L. [кукуруза  кремнистая ]   
каштан	каштан \n1.   кашта́н   * (заимствовано из русского)   [каштан   (плод и дерево) ]   каштан \n1.   адгьылраса Castanea sativa Mill. [каштан  настоящий ] \n2.   адгьылраса Castanea sativa Mill. [каштан  настоящий   (плод каштана настоящего) ] \n3.   а-ахьа   (абх.)   Уапшы   адгьылраса Castanea sativa Mill. [каштан  посевной ] \n4.   а-ахьа   (абх.)   Уапшы   адгьылраса Castanea sativa Mill. [каштан  культурный ] \n5.   а-ахьарпара   (абх.) Castanea sativa Mill. [каштан  посевной, культурный   (плод каштана посевного, каштана культурного) ] \n6.   каштан   * (заимствовано из русского)   Уапшы   адгьылраса Castanea sativa Mill. [каштан  посевной ] \n7.   каштан   * (заимствовано из русского)   Уапшы   адгьылраса Castanea sativa Mill. [каштан  культурный ] \n8.   кIаштан   * (заимствовано из русского)   Уапшы   адгьылраса Castanea sativa Mill. [каштан  настоящий ] \n9.   хьыцIла Aesculus hippocastanum L. [каштан  конский, обыкновенный ] \n10.   шитанраса Trapa natans L. [каштан  водяной ]   
